sample_id,split,total_calories,total_protein,total_carb,total_fat,image_path
0,train,41.399998,0.288,2.268,3.852,data/processed/food-nutrients/images/000000.jpg
1,train,6.44,0.506,1.219,0.092,data/processed/food-nutrients/images/000001.jpg
2,train,71.299995,0.496,3.906,6.634,data/processed/food-nutrients/images/000002.jpg
3,train,27.52,2.176,5.76,0.192,data/processed/food-nutrients/images/000003.jpg
4,train,4.48,0.196,0.952,0.056,data/processed/food-nutrients/images/000004.jpg
5,test,103.300003,2.868,10.618,6.882,data/processed/food-nutrients/images/000005.jpg
6,train,103.300003,2.868,10.618,6.882,data/processed/food-nutrients/images/000006.jpg
7,train,103.299995,2.868,10.618,6.882,data/processed/food-nutrients/images/000007.jpg
8,train,103.299995,2.868,10.618,6.882,data/processed/food-nutrients/images/000008.jpg
9,train,103.299995,2.868,10.618,6.882,data/processed/food-nutrients/images/000009.jpg
10,train,103.300003,2.868,10.618,6.882,data/processed/food-nutrients/images/000010.jpg
11,train,18.810001,0.399,4.56,0.171,data/processed/food-nutrients/images/000011.jpg
12,train,195.929993,15.75,1.512,13.23,data/processed/food-nutrients/images/000012.jpg
13,test,115.413002,1.488,27.341999,0.186,data/processed/food-nutrients/images/000013.jpg
14,train,330.152985,17.637001,33.413998,13.586999,data/processed/food-nutrients/images/000014.jpg
15,train,35.099998,7.176,0.0,5.07,data/processed/food-nutrients/images/000015.jpg
16,train,13.144,0.53,3.127,0.106,data/processed/food-nutrients/images/000016.jpg
17,train,13.64,0.992,1.333,0.651,data/processed/food-nutrients/images/000017.jpg
18,train,61.883999,8.698,4.46,5.827,data/processed/food-nutrients/images/000018.jpg
19,train,103.949997,19.530001,0.0,2.268,data/processed/food-nutrients/images/000019.jpg
20,train,19.25,1.386,3.85,0.231,data/processed/food-nutrients/images/000020.jpg
21,train,319.779999,29.5,0.0,22.42,data/processed/food-nutrients/images/000021.jpg
22,train,442.97998,50.416,3.85,24.919001,data/processed/food-nutrients/images/000022.jpg
23,train,5.52,0.696,0.864,0.096,data/processed/food-nutrients/images/000023.jpg
24,train,3.1,0.31,0.62,0.0,data/processed/food-nutrients/images/000024.jpg
25,train,75.200005,0.94,4.23,7.05,data/processed/food-nutrients/images/000025.jpg
26,train,46.0,0.32,2.52,4.28,data/processed/food-nutrients/images/000026.jpg
27,train,129.820007,2.266,8.233999,11.426001,data/processed/food-nutrients/images/000027.jpg
